"chromosome","genes","type","all","up","down","majority"
"chr22","TMEM184B","down",43,25,18,"FALSE"
"chr22","TOMM22","up",43,25,18,"TRUE"
"chr22","KDELR3","up",43,25,18,"TRUE"
"chr22","SOX10","down",43,25,18,"FALSE"
"chr22","SMCR7L","up",43,25,18,"TRUE"
"chr22","GTPBP1","down",43,25,18,"FALSE"
"chr22","LGALS1","up",43,25,18,"TRUE"
"chr22","TNRC6B","up",43,25,18,"TRUE"
"chr22","SYNGR1","up",43,25,18,"TRUE"
"chr22","PLA2G6","up",43,25,18,"TRUE"
"chr11","RPLP2","down",33,16,17,"TRUE"
"chr11","CDHR5","down",33,16,17,"TRUE"
"chr11","BET1L","up",33,16,17,"FALSE"
"chr11","INS","down",33,16,17,"TRUE"
"chr11","POLR2L","up",33,16,17,"FALSE"
"chr11","SIRT3","up",33,16,17,"FALSE"
"chr11","TNNI2","down",33,16,17,"TRUE"
"chr11","CD81","up",33,16,17,"FALSE"
"chr11","CEND1","up",33,16,17,"FALSE"
"chr11","RASSF7","down",33,16,17,"TRUE"
"chr11","HRAS","up",33,16,17,"FALSE"
"chr11","C11orf21","down",33,16,17,"TRUE"
"chr11","ASCL2","up",33,16,17,"FALSE"
"chr11","PKP3","down",33,16,17,"TRUE"
"chr11","PSMD13","up",33,16,17,"FALSE"
"chr11","TH","up",33,16,17,"FALSE"
"chr11","DEAF1","up",33,16,17,"FALSE"
"chr11","IGF2-AS","up",33,16,17,"FALSE"
"chr11","SLC25A22","down",33,16,17,"TRUE"
"chr11","TSSC4","up",33,16,17,"FALSE"
"chr11","IRF7","down",33,16,17,"TRUE"
"chr11","DRD4","down",33,16,17,"TRUE"
"chr11","EPS8L2","down",33,16,17,"TRUE"
"chr11","SIGIRR","down",33,16,17,"TRUE"
"chr11","ATHL1","down",33,16,17,"TRUE"
"chr11","RNH1","down",33,16,17,"TRUE"
"chr11","TALDO1","up",33,16,17,"FALSE"
"chr11","TMEM80","down",33,16,17,"TRUE"
"chr11","IFITM3","up",33,16,17,"FALSE"
"chr11","CTSD","up",33,16,17,"FALSE"
"chr11","MRPL23","up",33,16,17,"FALSE"
"chr11","PNPLA2","down",33,16,17,"TRUE"
"chr11","SCT","down",33,16,17,"TRUE"
"chr17","AATK","down",48,24,24,"Equal"
"chr17","BIRC5","up",48,24,24,"Equal"
"chr17","DUS1L","up",48,24,24,"Equal"
"chr17","NPTX1","up",48,24,24,"Equal"
"chr17","EIF4A3","up",48,24,24,"Equal"
"chr17","ARHGDIA","down",48,24,24,"Equal"
"chr17","ENGASE","up",48,24,24,"Equal"
"chr17","ASPSCR1","up",48,24,24,"Equal"
"chr17","FN3K","down",48,24,24,"Equal"
"chr17","FN3KRP","up",48,24,24,"Equal"
"chr17","AZI1","down",48,24,24,"Equal"
"chr17","BAHCC1","down",48,24,24,"Equal"
"chr17","BAIAP2","down",48,24,24,"Equal"
"chr17","PYCR1","up",48,24,24,"Equal"
"chr17","SIRT7","down",48,24,24,"Equal"
"chr17","GCGR","up",48,24,24,"Equal"
"chr17","C17orf101","down",48,24,24,"Equal"
"chr17","C1QTNF1","down",48,24,24,"Equal"
"chr17","CANT1","up",48,24,24,"Equal"
"chr17","RFNG","up",48,24,24,"Equal"
"chr17","CARD14","down",48,24,24,"Equal"
"chr17","CBX2","up",48,24,24,"Equal"
"chr17","DCXR","down",48,24,24,"Equal"
"chr17","CCDC57","up",48,24,24,"Equal"
"chr17","CD7","down",48,24,24,"Equal"
"chr17","TBCD","up",48,24,24,"Equal"
"chr17","DNAH17","down",48,24,24,"Equal"
"chr17","TMC6","down",48,24,24,"Equal"
"chr17","ZNF750","down",48,24,24,"Equal"
"chr17","CHMP6","up",48,24,24,"Equal"
"chr17","CSNK1D","up",48,24,24,"Equal"
"chr17","SLC38A10","down",48,24,24,"Equal"
"chr17","MRPL12","up",48,24,24,"Equal"
"chr17","CYTH1","down",48,24,24,"Equal"
"chr17","MAFG","up",48,24,24,"Equal"
"chr17","WDR45L","up",48,24,24,"Equal"
"chr17","SLC25A10","down",48,24,24,"Equal"
"chr17","FOXK2","down",48,24,24,"Equal"
"chr17","FSCN2","up",48,24,24,"Equal"
"chr17","GAA","down",48,24,24,"Equal"
"chr17","HGS","down",48,24,24,"Equal"
"chr17","SOCS3","down",48,24,24,"Equal"
"chr17","NPLOC4","up",48,24,24,"Equal"
"chr17","RAC3","up",48,24,24,"Equal"
"chr17","PDE6G","down",48,24,24,"Equal"
"chr17","FASN","up",48,24,24,"Equal"
"chr17","SECTM1","down",48,24,24,"Equal"
"chr17","RAB40B","up",48,24,24,"Equal"
